	Das Gilgamesh-epos	Beck
Adams, Douglas	Dirk Gently's Holistic Detective Agency	Pocket Books
Adams, Douglas	Life, the Universe and Everything	Ballentine
Adams, Douglas	The Hitchhiker’s Guide to the Galaxy	Ballantine
Adams, Douglas	The Long Dark Tea Time of the Soul	Pocket books
Adorno, Theodor	Minima Moralia	Suhrkamp
Adorno, Theodor	Philosophie der neuen Musik	Suhrkamp
Aischylos	Der gefesselte Prometheus und die Schutzsuchenden	reclam
Aischylos	Die Orestie	reclam
Aischylos	Die Perser und Sieben gegen Theben	reclam
Alain-Fournier, Henri	Der große Meaulnes	Büchergilde
Albee, Edward	Who's afraid of Virginia Woolf	Signet
Andersch, Alfred	Der Vater eines Mörders	Büchergilde
Andersch, Alfred	Die Kirschen der Freiheit	Diogenes
Andersch, Alfred	Sansibar	Diogenes
Aristophanes	Das Frauenfest	reclam
Aristoteles	Metaphysik	reclam
Aristotleles	Nikomachische Ethik	rororo
Assländer, Michael	Adam Smith zur Einführung	Junius
Aurel, Marc	Selbstbetrachtungen	Insel
Badiou, Alain	Lob der Liebe Passagene	Verlag
Badiou, Alain	The Communist Hypothesis	Verso
Badiou, Alain	The True Life	Polity Press
Badiou, Alain	Wider den Globalen Kapitalismus	Ullstein
Ball, Hugo	Hermann Hesse	Tredition Classics
Bambarem, Sergio	Der Traum des Leuchtturmwärters	Piper
Baudelaire, Charles	Die Blumen des Bösen	Diogenes
Beckett, Samuel	The End	Penguin
Beckett, Samuel	Waiting for Godot	Grove Press
Bernhard, Thomas	Amras	Suhrkamp
Bernhard, Thomas	Auslöschung	Suhrkamp
Bernhard, Thomas	Wittgensteins Neffe	Suhrkamp
Bichsel, Peter	Eigentlich möchte Frau Blum den Milchmann kennenlernen	Suhrkamp
Boethius	Trost der Philosophie	Reclam
Bowie, Andrew	German Philosophy	Polity Press
Brecht, Berthold	Die Maßnahme	Suhrkamp
Brecht, Berthold	Mutter Courage	Suhrkamp
Brecht, Bertold	Das Leben des Galilei	Suhrkamp
Brecht, Bertold	Der gute Mensch von Sezuan	Suhrkamp
Brecht, Bertold	Der kaukasische Kreidekreis	Suhrkamp
Brecht, Bertold	Die Dreigroschenoper	Suhrkamp
Brecht, Bertold	Liebesgedichte	Insel
Brecht, Bertold	Musik	Suhrkamp
Bronte, Charlotte	Jane Eyre	Insel
Bronte, Emily	Sturmhöhe	Diogenes
Brueckner, Christine	Wenn du Geredet Haettest, Desdemona	Hoffmann und Campe
Bucay, Jorge	Komm, ich erzähl dir eine Geschichte	Fischer
Buechner, Georg	Woyzeck	reclam
Bukowski, Charles	Das Leben und Sterben im Uncle Sam Hotel	Fischer
Bukowski, Charles	Das Liebesleben der Hyäne	dtv
Bukowski, Charles	Der Mann mit der Ledertasche	Kiwi
Bulfinch, Thomas	Mythology	Barnes and Noble
Burton, Richard	Tausendundeine Nacht	Büchergilde
Bächli, Andreas	Grundbegriffe der antiken Philosophie	reclam
Böll, Heinrich	Ansichten eines Clowns	Freizeitbibliothek
Böll, Heinrich	Billard um halb Zehn	dtv
Böll, Heinrich	Die verlorene Ehre der Katharine Blum	dtv
Böll, Heinrich	Doktor Murkes Gesammeltes Schweigen	Kiepenheuer & Witsch
Büchner, Georg	Dantons Tod	Anaconda
Camus, Albert	Der Fall	rororo
Camus, Albert	Der Fremde	rororo
Camus, Albert	Der Mensch in der Revolte	rororo
Camus, Albert	Der Mythos des Sisyphos	rororo
Camus, Albert	Der glückliche Tod	rororo
Camus, Albert	Die Pest	rororo
Camus, Albert	Fragen der Zeit	rororo
Camus, Albert	Sämtliche Dramen	rororo
Camus, Albert	Verteidigung der Freiheit	rororo
Capote, Truman	Frühstück bei Tiffany	Goldmann
Capote, Truman	In Cold Blood	Penguin
Capote, Truman	Sommerdiebe	Goldmann
Carnap, Rudolf	Der logische Aufbau der Welt	Meiner
Cave, Nick	The Death of Bunny Monroe	Canongate
Cazotte, Jacques	Der Verliebte Teufel	Büchergilde
Celikates, Robin und Gosepath, Stefa	 Politische Philosophie	reclam
Cervantes	Don Quixote von la Mancha	Diogenes
Chatwin, Bruce	Traumpfade	Carl Hanser
Chatwin, Bruce	Traumpfade	Fischer
Checkov, Anton 	Die Möwe	Diogenes
Chomsky, Noam	Der gescheiterte Staat	Büchergilde
Chomsky, Noam	On Anarchy	Penguin
Chomsky, Noam	Profit over People, War against People	Piper
Christie, Agatha	After the Funeral	Berkeley
Christie, Agatha	Death on the Nile	Berkeley
Christie, Agatha	Der Täter lässt bitten	Loewe
Christie, Agatha	Villa Nachtigall	Diogenes
Collins, Wilkie	Der Monddiamant	Büchergilde
Dalai Lama	Der Wille zum Frieden	Fischer
Dante	Die göttliche Komödie	Fisher
Dante	Die göttliche Komödie	Nikol
Dawkins, Richard	The God Delusion	Black Swan
Delangey, Shelagh	A Taste of Honey	Cover
Descartes, Rene	Discours de la Methode	Meiner
Dickens, Charles	David Copperfield	Das literarische Vermächtnis
Dickens, Charles	Great Expectations	Penguin
Diverse	Philosophische Meistersteucke	reclam
Doeblin, Alexander	Berlin Alexanderplatz	dtv
Doeblin, Alfred	Wadzeks Kampf mit der Dampfmaschine	Fischer
Dos Passos, John	Manhattan Transfer	Penguin
Dosojewski, Fjodor	Der Idiot	Möllmann
Dostojewski, Fjodor	Böse Geister	Fischer
Dostojewski, Fjodor	Der Spieler	Fischer
Dostojewski, Fjodor	Die Sanfte	reclam
Doyle, Arthur Conan	Das Zeichen der Vier	Insel
Doyle, Arthur Conan	Holmes, Sherlock: Complete Stories	Bantam
Dumas, Alexandre	Der Graf von Monte Christo	Arena
Dumas, Alexandre	Die Kameliendame	Kaiser
Dunthorne, Joe	Ich, Oliver Tate	rororo
Dürrenmatt, Friedrich	Der Richter und sein Henker	rororo
